id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
167,60.00,42,38,80,140.00,True
23,58.95,39,38,77,135.95,True
38,59.10,40,34,74,133.10,True
202,50.70,44,37,81,131.70,True
136,40.20,38,41,79,119.20,True
84,52.95,32,34,66,118.95,True
155,45.60,32,38,70,115.60,True
112,48.60,34,33,67,115.60,True
140,48.30,33,28,61,109.30,True
173,42.90,38,22,60,102.90,True
36,43.50,29,26,55,98.50,True
183,44.55,30,23,53,97.55,True
55,45.00,23,29,52,97.00,True
175,39.00,31,25,56,95.00,True
169,38.40,20,35,55,93.40,True
132,33.15,39,20,59,92.15,True
103,47.70,27,17,44,91.70,True
150,39.45,30,22,52,91.45,True
194,28.95,25,30,55,83.95,True
182,33.00,24,24,48,81.00,True
91,34.50,25,20,45,79.50,True
16,43.05,22,13,35,78.05,True
115,23.40,21,31,52,75.40,True
147,31.80,26,15,41,72.80,True
46,36.00,26,9,35,71.00,True
166,33.00,22,11,33,66.00,True
114,17.10,23,22,45,62.10,True
68,25.05,20,7,27,52.05,True
238,14.10,20,16,36,50.10,True
180,19.80,19,2,21,40.80,True
190,14.55,10,12,22,36.55,False
