id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
269,64.00,47,44,91,155.00,True
213,58.05,42,41,83,141.05,True
185,49.50,42,45,87,136.50,True
278,55.20,45,35,80,135.20,True
104,51.75,35,46,81,132.75,True
56,56.85,29,38,67,123.85,True
19,52.20,34,32,66,118.20,True
238,35.55,34,43,77,112.55,True
273,43.65,41,26,67,110.65,True
21,46.05,30,34,64,110.05,True
46,57.00,26,27,53,110.00,True
198,4620,37,26,63,109.20,True
109,50.70,26,32,58,108.70,True
67,42.45,30,32,62,104.45,True
207,46.80,29,28,57,103.80,True
1,41.55,37,23,60,101.55,True
187,41.10,26,31,57,98.10,True
69,38.55,28,31,59,97.55,True
60,37.35,37,23,60,97.35,True
253,46.50,31,17,48,94.50,True
54,39.00,37,17,54,93.00,True
64,48.60,21,23,44,92.60,True
264,39.75,32,19,51,90.75,True
110,39.30,35,16,51,90.30,True
129,43.50,29,17,46,89.50,True
259,40.35,23,26,49,89.35,True
40,31.05,24,32,56,87.05,True
232,25.35,23,38,61,86.35,True
123,31.05,33,22,55,86.05,True
15,43.65,29,13,42,85.65,True
205,41.25,26,18,44,85.25,False
270,36.45,26,22,48,84.45,False
195,39.00,27,16,43,82.00,False
223,30.00,25,25,50,80.00,False
202,36.00,28,16,44,80.00,False
71,33.00,28,17,45,78.00,False
246,49.65,23,5,28,77.65,False
133,40.95,18,17,35,75.95,False
313,27.90,31,14,45,72.90,False
225,39.30,20,13,33,72.30,False
84,37.05,25,10,35,72.05,False
134,33.15,23,15,38,71.15,False
108,31.95,19,20,39,70.95,False
236,23.85,24,23,47,70.85,False
210,31.95,23,15,38,69.95,False
243,31.80,22,16,38,69.80,False
14,36.60,24,5,29,65.60,False
321,32.25,22,6,28,60.25,False
320,13.05,21,20,41,54.05,False
247,14.85,18,21,39,53.85,False
18,18.15,24,9,33,51.15,False
244,6.75,30,12,42,48.75,False
319,15.30,28,4,32,47.30,False
274,10.05,19,15,34,44.05,False
256,20.55,17,5,22,42.55,False
141,20.55,16,4,20,40.55,False
298,3.45,22,15,37,40.45,False
