id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
156,55.80,35,41,76,131.80,True
87,55.95,40,27,67,122.95,True
85,56.25,31,32,63,119.25,True
206,50.55,37,25,62,112.55,True
9,42.00,35,35,70,112.00,True
118,45.00,39,27,66,111.00,True
44,54.30,28,27,55,109.30,True
297,45.90,31,30,61,106.90,True
11,47.85,21,37,58,105.85,True
214,47.40,26,31,57,104.40,True
90,52.50,29,22,51,103.50,True
254,46.95,30,26,56,102.95,True
37,50.25,28,23,51,101.25,True
167,46.05,31,24,55,101.05,True
148,54.90,26,20,46,100.90,True
6,47.70,27,24,51,98.70,True
307,47.55,36,11,47,94.55,True
181,41.25,22,29,51,92.25,True
73,41.25,21,29,50,91.25,True
91,40.20,31,20,51,9120,True
46,36.00,24,25,49,85.00,True
250,53.25,20,8,28,81.25,True
92,35.10,24,22,46,81.10,True
223,30.75,26,22,48,78.75,True
267,37.50,19,22,41,78.50,True
184,33.75,28,12,40,73.75,True
135,31.80,27,14,41,72.80,True
309,32.70,22,18,40,72.70,True
119,36.45,23,9,32,68.45,True
172,30.90,17,17,34,64.90,True
64,16.80,29,10,39,55.80,False
1,24.45,11,20,31,55.45,False
