id,prospech_a_souteze,prijimacky_cestina,prijimacky_matematika,prijimacky_celkem,body_celkem,prijat
241,54.00,42,38,80,134.90,True
221,54.45,30,43,73,127.45,True
145,49.20,38,36,74,123.20,True
53,56.70,31,30,61,117.70,True
249,49.95,28,35,63,112.95,True
121,49.95,40,20,60,109.95,True
9,46.95,37,24,61,107.95,True
325,45.60,39,21,60,105.60,True
139,56.10,32,15,47,103.10,True
84,40.80,32,27,59,99.80,True
88,41.70,26,31,57,98.70,True
262,46.50,26,23,49,95.50,True
168,37.80,27,29,56,93.80,True
126,37.65,26,30,56,93.65,True
114,42.15,16,32,48,90.15,True
162,41.10,26,23,49,90.10,True
217,43.05,26,43,17,86.05,True
73,39.90,27,18,45,84.90,True
80,35.40,33,15,48,83.40,True
233,44.10,26,13,39,83.10,True
340,37.50,27,17,44,81.50,True
86,30.90,29,21,50,80.90,True
150,42.90,14,23,37,79.90,True
66,44.40,15,17,32,76.40,True
95,43.50,20,12,32,75.50,True
301,33.45,25,17,42,75.45,True
344,37.95,23,12,35,72.95,True
267,33.75,20,17,37,70.75,True
159,37.05,16,11,27,64.05,True
308,20.85,20,22,42,62.85,True
319,12.45,18,10,28,40.45,False
261,4.95,15,13,28,32.05,False
327,19.65,10,2,12,31.65,False
311,15.00,10,5,15,30.00,False
